id,code,name
l10n_pe_table_35_9001,9001,"BOUVET ISLAND"
l10n_pe_table_35_9002,9002,"COTE D'IVOIRE"
l10n_pe_table_35_9003,9003,"FALKLAND ISLANDS (MALVINAS)"
l10n_pe_table_35_9004,9004,"FRANCE, METROPOLITAN"
l10n_pe_table_35_9005,9005,"FRENCH SOUTHERN TERRITORIES"
l10n_pe_table_35_9006,9006,"HEARD AND MC DONALD ISLANDS"
l10n_pe_table_35_9007,9007,"MAYOTTE"
l10n_pe_table_35_9008,9008,"SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS"
l10n_pe_table_35_9009,9009,"SVALBARD AND JAN MAYEN ISLANDS"
l10n_pe_table_35_9010,9010,"UNITED STATES MINOR OUTLYING ISLANDS"
l10n_pe_table_35_9011,9011,"OTROS PAISES O LUGARES"
l10n_pe_table_35_9013,9013,"AFGANISTAN"
l10n_pe_table_35_9017,9017,"ALBANIA"
l10n_pe_table_35_9019,9019,"ALDERNEY"
l10n_pe_table_35_9023,9023,"ALEMANIA"
l10n_pe_table_35_9026,9026,"ARMENIA"
l10n_pe_table_35_9027,9027,"ARUBA"
l10n_pe_table_35_9028,9028,"ASCENCI?N"
l10n_pe_table_35_9029,9029,"BOSNIA-HERZEGOVINA"
l10n_pe_table_35_9031,9031,"BURKINA FASO"
l10n_pe_table_35_9037,9037,"ANDORRA"
l10n_pe_table_35_9040,9040,"ANGOLA"
l10n_pe_table_35_9041,9041,"ANGUILLA"
l10n_pe_table_35_9043,9043,"ANTIGUA Y BARBUDA"
l10n_pe_table_35_9047,9047,"ANTILLAS HOLANDESAS"
l10n_pe_table_35_9053,9053,"ARABIA SAUDITA"
l10n_pe_table_35_9059,9059,"ARGELIA"
l10n_pe_table_35_9063,9063,"ARGENTINA"
l10n_pe_table_35_9069,9069,"AUSTRALIA"
l10n_pe_table_35_9072,9072,"AUSTRIA"
l10n_pe_table_35_9074,9074,"AZERBAIJAN"
l10n_pe_table_35_9077,9077,"BAHAMAS"
l10n_pe_table_35_9080,9080,"BAHREIN"
l10n_pe_table_35_9081,9081,"BANGLADESH"
l10n_pe_table_35_9083,9083,"BARBADOS"
l10n_pe_table_35_9087,9087,"BELGICA"
l10n_pe_table_35_9088,9088,"BELICE"
l10n_pe_table_35_9090,9090,"BERMUDAS"
l10n_pe_table_35_9091,9091,"BELARUS"
l10n_pe_table_35_9093,9093,"MYANMAR"
l10n_pe_table_35_9097,9097,"BOLIVIA"
l10n_pe_table_35_9101,9101,"BOTSWANA"
l10n_pe_table_35_9105,9105,"BRASIL"
l10n_pe_table_35_9108,9108,"BRUNEI DARUSSALAM"
l10n_pe_table_35_9111,9111,"BULGARIA"
l10n_pe_table_35_9115,9115,"BURUNDI"
l10n_pe_table_35_9119,9119,"BUTAN"
l10n_pe_table_35_9127,9127,"CABO VERDE"
l10n_pe_table_35_9137,9137,"CAIMAN,ISLAS"
l10n_pe_table_35_9141,9141,"CAMBOYA"
l10n_pe_table_35_9145,9145,"CAMERUN,REPUBLICA UNIDA DEL"
l10n_pe_table_35_9147,9147,"CAMPIONE D?TALIA"
l10n_pe_table_35_9149,9149,"CANADA"
l10n_pe_table_35_9155,9155,"CANAL (NORMANDAS), ISLAS"
l10n_pe_table_35_9157,9157,"CANTON Y ENDERBURRY"
l10n_pe_table_35_9159,9159,"SANTA SEDE"
l10n_pe_table_35_9165,9165,"COCOS (KEELING),ISLAS"
l10n_pe_table_35_9169,9169,"COLOMBIA"
l10n_pe_table_35_9173,9173,"COMORAS"
l10n_pe_table_35_9177,9177,"CONGO"
l10n_pe_table_35_9183,9183,"COOK, ISLAS"
l10n_pe_table_35_9187,9187,"COREA (NORTE), REPUBLICA POPULAR DEMOCRATICA DE"
l10n_pe_table_35_9190,9190,"COREA (SUR), REPUBLICA DE"
l10n_pe_table_35_9193,9193,"COSTA DE MARFIL"
l10n_pe_table_35_9196,9196,"COSTA RICA"
l10n_pe_table_35_9198,9198,"CROACIA"
l10n_pe_table_35_9199,9199,"CUBA"
l10n_pe_table_35_9203,9203,"CHAD"
l10n_pe_table_35_9207,9207,"CHECOSLOVAQUIA"
l10n_pe_table_35_9211,9211,"CHILE"
l10n_pe_table_35_9215,9215,"CHINA"
l10n_pe_table_35_9218,9218,"TAIWAN (FORMOSA)"
l10n_pe_table_35_9221,9221,"CHIPRE"
l10n_pe_table_35_9229,9229,"BENIN"
l10n_pe_table_35_9232,9232,"DINAMARCA"
l10n_pe_table_35_9235,9235,"DOMINICA"
l10n_pe_table_35_9239,9239,"ECUADOR"
l10n_pe_table_35_9240,9240,"EGIPTO"
l10n_pe_table_35_9242,9242,"EL SALVADOR"
l10n_pe_table_35_9243,9243,"ERITREA"
l10n_pe_table_35_9244,9244,"EMIRATOS ARABES UNIDOS"
l10n_pe_table_35_9245,9245,"ESPA?A"
l10n_pe_table_35_9246,9246,"ESLOVAQUIA"
l10n_pe_table_35_9247,9247,"ESLOVENIA"
